ccl4_10w_vs_ccl4_6w_a2b	ccl4_10w_vs_ccl4_6w_b2a	ccl4_10w_vs_ctrl_10w_a2b	ccl4_10w_vs_ctrl_10w_b2a	ccl4_18w_vs_ccl4_10w_a2b	ccl4_18w_vs_ccl4_10w_b2a	ccl4_18w_vs_ccl4_6w_a2b	ccl4_18w_vs_ccl4_6w_b2a	ccl4_18w_vs_ctrl_18w_a2b	ccl4_18w_vs_ctrl_18w_b2a	ccl4_6w_vs_ctrl_6w_a2b	ccl4_6w_vs_ctrl_6w_b2a	ctrl_10w_vs_ctrl_6w_a2b	ctrl_10w_vs_ctrl_6w_b2a	ctrl_18w_vs_ctrl_10w_a2b	ctrl_18w_vs_ctrl_10w_b2a	ctrl_18w_vs_ctrl_6w_a2b	ctrl_18w_vs_ctrl_6w_b2a
-0.09		-0.02	0.67	2.86	1.01	-0.42		0.8	0	0.87	-0.69	0.62	0	-0.08	-1.82	-0.13	
-0.03		-0.02	0.67	1.58	-0.1	0.1		0.8	0	-1.25	-1.88	0.06	0	0.37	0.95	-0.88	
-0.18		1.09	0	0.8	0.37	-0.65		3.06	0.62	-0.54	-1.39	0.47	0	0.05	-0.31	-3.44	
-0.02		-1.18	2.14	0.62	-0.62	0.3		0.32	1.09	-0.08	-1.52	-0.34	0	-3.08	0.23	-3.44	
-0.14		-1.14	0	0.62	-0.2	0.55		-1.23	0.86	1.49	-6.15	0.07	1.93	-0.27	0.85	-0.42	
-0.08		-0.02	-0.29	-0.35	-1.39	-0.03		0.86		1.49	-2.97	0.78	0.03	-0.55	-0.27	0.08	
0.03		3.14	0	3.94	-0.29	1.31		4.38		0.15	-1.75	0.22	-3.42	0.22	1.34	-0.4	
0.87		0.87	0	-0.26	-0.71	0.07		-0.57		0.41	0.5	0.5	0	0.09	-0.69	-0.4	
-0.18		-0.03	2.73	0.42	-0.8	1.47		0.91		-0.4	-8.92	0.31	0.99	0.47	-0.61	-0.71	
-0.08		-0.03	-0.39	0.57	-2.68	-0.2		2.84		0.41	-0.02	-0.16	-0.04	-0.04	1.39	-0.04	
0.2		0.32	0	0.16	-0.23	-0.85		-2.85		1.11	-6.12	0.09	0.99	-0.54	0.24	0.29	
-0.03		-0.29	-3.27	0.16	2.16	0.08		-0.8		1.11	-5.09	-0.08	-1.86	-0.54	-0.07	1.41	
-0.24		1.29	-3.27	1.35	-0.46	0.18		-0.02		-0.07	-4.77	0.42	0	0.02	-0.09	1.41	
-0.24		0.39	-3.27	1.89	0.57	-0.22		0.55		0.64	0.72	-0.87	0.94	0.27	0.03	-0.79	
0.26		1.59	-3.27	0.68	0.08	0.18		0.55		0.17	-0.97	-1.23	0	-0.26	-0.54	0.47	
-0.62		-0.3	-3.27	0.6	-0.19	0.23		4.67		0.51	0.04	-0.09	0	-0.18	1.19	0.94	
0.12		0.66	0	0.9	-0.81	1.46		2.61		0.44	-0.79	-0.16	-0.94	0.33	0.5	-0.95	
-0.32		-0.5	-3.13	-0.2	-0.61	-1.46		0.57		-1.52	0.49	-0.3	0	-0.88	0.74	1.49	
-0.24		0.93	-0.29	1.25	-0.61	0.86		-0.21		-1.46	0.16	-1.12	-1.09	-0.07	0.02	0.31	
0.04		0.86	-0.29	0.8	-0.4	-0.03		-1.63		1	0.19	-0.23	-1.82	-0.01	0.02	0.17	
0.16		0.23	-0.29	0.8	-3.5	-0.42		0.61		0.93	-1.13	0.53	-0.4	-1.13	0.07	-0.48	
0.14		0	0.67	-0.4	-1.17	-0.42		1.04		1.29	-1.01	-0.03	0.39	-0.19	0.61	-0.44	
-0.19		-0.01	0.67	-0.4	-1.01	-0.42		3		1.29	-0.9	1.21	0	-1.34	1.12	-0.22	
-0.04		-0.98	-0.29	0.01	-1.04	0.09		-0.75		0.83	-0.22	0.99	-1.85	0.66	-0.09	-0.79	
0.24		-0.98	0	0.81	-0.53	-0.53		0.21		2.25	0	-0.04	0	0.02	0.13	0.29	
-0.43		0.29	-2.16	0.65	-0.16	0.7		0.97		2.29	0.23	0.85	0.99	0.08	-1.71	0.26	
-0.12		-0.24	-1.25	0.26	-0.07	0.78		1.14		-0.22	-1.79	0.36	-1.79	0.32	0.15	0.26	
-0.27		-0.23	-3.5	2.22	1.04	0.78		4.61		-0.19	-0.96	0.61	-4.01	-0.46	0.16	-0.46	
-0.22		-0.02	0	1.7	4.11	0.13		5.99		-0.11	-4.46	0.41	-1.85	0.14	-0.69	0.22	
-0.46		-0.25	-2.11	2.12	1.42	0.03		0.42		2.43	-1.39	0.32	0	-1.15	0	-0.49	
0.31		0.89	0	-0.03	-0.16	-0.24		0.21		0.14	-6.09	-0.77	0	-0.04	-0.02	0.17	
-0.21		0.16	0	2.74	1.45	2.73		0.21		0.14	-5.39	0.37	1.05	-0.45	0.74	-0.79	
-0.71		-0.2	0	1.7	0	-0.42		1.37		0.82	-3.6	1.1	0.08	-0.3	0.06	1.23	
-0.11		-0.32	-0.06	1.7	3.42	1.31		-1.44		0.98	0.38	0.58	3.09	-0.02	0	0.27	
-0.17		-0.36	0	1.7	-2.42	3.82		0.2		1.16	-1.4	-0.19	-0.94	-0.07	0.94	1.17	
0.06		0.14	-1.25	-0.22	0.21	0.36		0.67		0.46	0.13	-0.15	2.48	0.03	2.69	-0.1	
0.05		0.42	0	0.19	0	-0.03		-0.47		0.79	0.42	0.57	-0.94	-0.93	-1.89	0.27	
0.09		0.21	2.9	0.19	2.55	0.4		2.47		-0.27	-0.2	-0.18	-0.01	-0.01	1.77	-0.88	
0.09		0.39	-1.25	0.78	0.89	-0.37		1.25		0.27	0.12	0.93	1.9	0.17	0.94	0.3	
-0.04		-0.21	0	1.26	-1.48	-0.37		1.25		0.73	1.06	-0.74	0	0.02	0	-0.34	
0.31		1.13	0	1.33	-3.43	-0.26		1.25		0.81	-1.3	-0.74	-1.11	0.12	-0.98	-0.43	
-0.1		-3.66	-1.25	1.33	0.25	1.5		0.16		0.07	0.09	-0.54	0.48	-0.55	1.57	0	
0.03		0.65	1.09	1.45	0	0.46		3.18		0.42	-0.39	-0.71	-1.67	-0.1	-3.02	0.19	
0.12		1.05	0	0.19	-0.92	0.45		0.05		0.57	0.33	0.18	0.46	0.02	-3.02	-1.9	
0.09		1.08	0	1.61	-2.45	-0.23		2.2		1.52	1.09	-0.7		0.11	-3.02	1.55	
-0.03		1.08	0	0.42	1.76	0.5		4.26		1.17	-1.56	-0.43		0.05	-3.02	0.3	
-0.04		1.08	-3	0.23	1.44	1.18		1.73		0.34	-0.31	0.3		0.23	-0.39	-1.23	
0.07		0.63	-1.25	-0.26	0.21	-0.22		-0.53		3.14	0.26	-0.03		0.3	-0.98	-0.83	
0.07		0.63	0	-0.46	-2.71	-0.22		0.86		0.19	-0.7	0.68		0.1	-3.23	1.41	
-0.17		1.01	0.59	-0.63	0	-0.22		0.75		-0.79	-0.42	0.39		0.1	-1.84	-1.04	
-0.28		-0.3	-2.13	1.84	1.34	0.07		0.32		-0.79	-1.68	0.31		-0.94	0	-0.89	
-0.27		0.1	0	0.22	-1.48	0.07		1.17		1.25	-1.46	-0.29		0.14	0	0.28	
0.01		0.66	0.67	2.52	-0.66	1.03		1.45		1.25	-0.11	0.19		-0.93	0	-0.85	
0.31		1.02	0	-0.12	0	-0.03		-0.46		0.23	2.98	0.3		0	0	0.07	
-0.05		-1.05	-1.6	0.54	-2.57	0.76		1.18		3.65	-1.16	0.23		0.08	0	-0.8	
-0.05		-0.47	0	1.27	-4.23	0.18		0.43		0.23	-0.1	-0.7		0.08	-1.89	-0.08	
0.06		-0.42	2.09	0.36	-1.27	-0.23		-2.87		0.23	0.03	0.24		0.15	1.5	-1.05	
-0.28		-1.25	0.67	-0.06	-2.07	0.28		2.54		-0.38	-0.29	-0.01		0.15	2.89	-0.61	
0.02		-1.25	0	-0.44	1.04	-0.01		1.92		1.33	0.33	0.3		0.15	0	-0.44	
-0.69		0.37	0	0.83	0.89	-0.01		1.81		1.33	-0.06	0.66		0.01	-1.22	0.96	
0.22		-0.67	0	0.16	-1.8	0.07		-0.07		-0.27	0.34	0.15		-0.64	-1.22	-0.05	
0.22		0.7	-0.66	-0.29	-2.35	1.82		0.87		0.65	-0.25	0.02		-0.23	1.44	-1.12	
0.12		0.64	1.2	0.78	3.37	-1.23		0.87		0.52	-2.88	0.36		0.05	0	0.2	
0.12		0.53	-1.28	1.15	0	0.16		0.63		-1.4	0.5	0.33		1.87	-0.24	0.16	
-0.25		-1.24	1.55	0.72	-0.15	3.05		-0.05		-1.4	-2.34	0.93		0.48	-1.87	0.35	
0.26		0.62	-5.06	-0.12	-0.75	0.27		2.11		-0.04	2.46	0.18		-0.03	0	-0.04	
-0.06		0.45	-1.25	1.77	0.61	-0.17		4.37		-1.78	-1.34	-0.05		-0.1	-1.9	0.72	
-0.04		-0.69	0	-0.04	0	-0.17		4.37		0.13	-1.34	0.5		0.08	-0.62	-0.87	
-0.05		0.18	0	0.16	-1.63	0.65		0.12		0.17	-2.13	0.04		0.05	0.32	-0.05	
-0.34		-0.05	0	0.35	0	2.58		-0.5		1.62	-0.86	0.4		-0.24	0.57	-2.05	
0.19		0.15	0	0.35	3.64	0.05		-0.5		0.85	-0.86	1.43		-0.11	0	-0.28	
0.19		2.68	0	0.11	0	-0.1		-0.5		0.57	-1.42	0.42		-0.11	2.87	-0.67	
